Campaign_ID,Campaign_Name,Channel,Target_Segment,Impressions,Clicks,Conversions,Deposits,Revenue_USD,Start_Date,End_Date
C017,Loyalty Bonus,SMS,Churned Users,42729,268,268,268,40241.84,2025-06-22,2025-07-06
C004,Deposit Doubler,Push Notification,Returning Users,14273,2507,2507,2507,24172.53,2025-06-30,2025-07-14
C018,VIP Reload,Affiliate,Casual Bettors,27389,5424,5424,1929,17508.32,2025-06-21,2025-07-01
C008,VIP Reload,Social Media,Casual Bettors,49727,1765,1765,1765,34234.91,2025-06-29,2025-07-07
C004,Comeback Offer,Social Media,Returning Users,20275,3944,3213,3213,27458.88,2025-06-05,2025-06-13
C002,Weekend Frenzy,Affiliate,New Users,27389,3201,2075,2075,984.89,2025-06-21,2025-07-02
C006,Weekend Frenzy,Affiliate,Returning Users,29391,2684,2637,2637,45845.8,2025-06-08,2025-06-22
C010,Comeback Offer,Push Notification,Casual Bettors,20155,9368,5180,2809,37182.43,2025-06-20,2025-07-04
C004,Loyalty Bonus,Affiliate,Churned Users,10026,3414,848,646,24548.48,2025-06-29,2025-07-11
C018,Welcome Bonus,Push Notification,New Users,37110,6843,6843,408,44319.8,2025-06-21,2025-07-03
C012,Big Match Bonus,Email,Casual Bettors,42002,3222,1914,1914,48483.71,2025-06-16,2025-06-24
C002,High Roller Heaven,SMS,High Rollers,25431,8869,4336,4093,9114.08,2025-06-24,2025-07-02
C010,Goal Galore,SMS,Churned Users,43057,3486,1935,1935,40122.0,2025-06-02,2025-06-12
C004,Midweek Madness,SMS,Churned Users,16998,3347,1645,1645,40317.19,2025-06-23,2025-07-07
C014,Late Night Thrill,Email,Returning Users,40446,6031,2419,2419,15808.02,2025-06-19,2025-06-29
C016,VIP Reload,SMS,Casual Bettors,39502,3476,3476,3476,2465.33,2025-06-19,2025-07-01
C015,Early Bird Bonus,Push Notification,Casual Bettors,5031,5031,2207,1341,1712.75,2025-06-26,2025-07-04
C008,Flash Bet Boost,Social Media,Returning Users,4401,4401,4401,3002,31015.51,2025-06-06,2025-06-20
C014,Spin & Win,SMS,Casual Bettors,42396,4696,4590,4590,41566.73,2025-06-28,2025-07-07
C008,Cashback Carnival,SMS,Casual Bettors,46031,7536,4813,1570,4393.79,2025-06-11,2025-06-20
C016,Mega Multiplier,Push Notification,Churned Users,46372,2628,1381,1381,15835.1,2025-06-11,2025-06-23
C013,Weekend Frenzy,Push Notification,New Users,30684,100,100,52,49044.93,2025-06-25,2025-07-03
C018,Bet & Chill,SMS,High Rollers,4707,1828,1414,1414,18773.78,2025-06-25,2025-07-06
C015,VIP Reload,Affiliate,High Rollers,41920,6148,4525,4525,37644.11,2025-06-30,2025-07-10
C013,Instant Win Promo,Email,New Users,32771,4728,1464,1464,13701.34,2025-06-09,2025-06-23
C009,High Roller Heaven,Social Media,High Rollers,30199,6711,3825,3825,12358.08,2025-06-16,2025-06-24
C015,Welcome Bonus,Social Media,New Users,36762,3156,3156,3031,28515.36,2025-06-28,2025-07-12
C013,Mega Multiplier,Email,Casual Bettors,36604,7415,6874,2900,21072.15,2025-06-11,2025-06-19
C001,Lucky Draw,SMS,Returning Users,8151,8151,1593,1593,34166.57,2025-06-19,2025-07-01
C007,High Roller Heaven,SMS,Casual Bettors,36177,7532,5727,4849,19727.08,2025-06-25,2025-07-02
C009,Lucky Draw,SMS,Returning Users,25290,546,546,546,20453.53,2025-06-20,2025-06-29
C001,Instant Win Promo,SMS,New Users,42809,1920,1045,1045,36451.38,2025-06-17,2025-06-29
C012,Bet & Chill,SMS,Casual Bettors,39097,3250,855,855,3640.95,2025-06-18,2025-06-25
C008,Loyalty Bonus,Social Media,New Users,17778,5645,1282,1282,24229.68,2025-06-05,2025-06-17
C011,Refer & Earn,SMS,Churned Users,47751,9630,7215,287,42060.85,2025-06-27,2025-07-04
C019,Early Bird Bonus,Push Notification,New Users,23266,9349,5293,292,1127.57,2025-06-07,2025-06-20
C017,Refer & Earn,Affiliate,Casual Bettors,40800,6530,1496,1496,24826.39,2025-06-21,2025-06-28
C008,High Roller Heaven,SMS,Returning Users,21064,339,339,339,5215.22,2025-06-12,2025-06-26
C003,Goal Galore,Push Notification,Churned Users,7062,979,979,979,43770.26,2025-06-26,2025-07-07
C003,Lucky Draw,Social Media,Casual Bettors,8596,6166,6166,2334,6361.45,2025-06-08,2025-06-20
C001,Goal Galore,Push Notification,Casual Bettors,42696,476,476,181,18149.05,2025-06-24,2025-07-06
C005,High Roller Heaven,Email,Casual Bettors,23478,6857,2357,2357,35471.33,2025-06-01,2025-06-10
C010,Bet & Chill,Email,Churned Users,29945,5198,2122,276,5780.68,2025-06-04,2025-06-11
C007,Instant Win Promo,Push Notification,Casual Bettors,4285,2021,2021,1628,40844.41,2025-06-26,2025-07-04
C009,High Roller Heaven,SMS,Returning Users,30317,2525,2513,2513,9042.48,2025-06-30,2025-07-11
C007,Flash Bet Boost,SMS,Casual Bettors,21949,1518,1518,1518,7324.27,2025-06-06,2025-06-19
C009,Cashback Carnival,SMS,High Rollers,28909,2162,2162,2162,28481.89,2025-06-19,2025-07-01
C008,Goal Galore,Push Notification,New Users,34381,6610,3353,1388,40707.31,2025-06-16,2025-06-29
C012,Bet & Chill,Email,High Rollers,9541,238,238,238,7557.43,2025-06-19,2025-06-26
C002,Cashback Carnival,Email,Returning Users,18340,5300,5300,1969,7747.77,2025-06-17,2025-06-25
C001,Bet & Chill,Social Media,Returning Users,37213,2187,2187,2187,9935.31,2025-06-14,2025-06-23
C016,Deposit Doubler,Email,New Users,4576,4576,962,962,47909.05,2025-06-15,2025-06-25
C005,Weekend Frenzy,Email,Returning Users,28933,3779,3489,3489,38954.48,2025-06-17,2025-06-28
C003,Weekend Frenzy,Affiliate,Returning Users,32149,3863,1928,1828,6375.15,2025-06-29,2025-07-11
C012,Goal Galore,Email,Casual Bettors,37852,5626,5626,3388,5741.01,2025-06-02,2025-06-10
C008,Refer & Earn,Push Notification,New Users,2424,1271,1271,276,25473.48,2025-06-17,2025-06-26
C003,VIP Reload,SMS,High Rollers,9412,7039,2443,1486,26836.86,2025-06-09,2025-06-19
C001,Lucky Draw,Push Notification,Casual Bettors,43579,2531,895,895,37744.94,2025-06-25,2025-07-06
C003,Spin & Win,SMS,Casual Bettors,24144,7370,6138,6138,25636.05,2025-06-06,2025-06-15
C005,Deposit Doubler,SMS,High Rollers,18671,4074,3273,2836,14230.9,2025-06-19,2025-06-27
C015,High Roller Heaven,Social Media,Returning Users,17528,8063,5092,4063,7367.25,2025-06-19,2025-07-02
C014,Mega Multiplier,Email,Churned Users,33568,6966,373,373,16130.4,2025-06-17,2025-06-24
C003,Bet & Chill,Social Media,Churned Users,31137,1488,1488,857,22804.79,2025-06-20,2025-07-03
C001,Instant Win Promo,SMS,Returning Users,32691,2133,1234,932,18447.66,2025-06-17,2025-06-30
C005,Early Bird Bonus,Affiliate,Casual Bettors,1607,336,336,336,29340.17,2025-06-13,2025-06-20
C014,Welcome Bonus,Affiliate,High Rollers,8637,8637,1887,1887,5748.11,2025-06-01,2025-06-13
C007,Welcome Bonus,Social Media,Churned Users,5634,5180,5180,442,43713.78,2025-06-01,2025-06-15
C009,Lucky Draw,Social Media,Casual Bettors,38945,5574,491,491,48873.03,2025-06-17,2025-06-30
C015,Early Bird Bonus,Email,Churned Users,10316,4592,4592,4592,47491.45,2025-06-05,2025-06-16
C015,Loyalty Bonus,Social Media,High Rollers,36502,6114,5305,5069,38254.41,2025-06-12,2025-06-22
C010,Weekend Frenzy,Social Media,Casual Bettors,40729,3879,2492,2067,41349.32,2025-06-15,2025-06-29
C013,Flash Bet Boost,Push Notification,New Users,49798,2373,326,326,34710.31,2025-06-16,2025-06-27
C019,Goal Galore,Social Media,Casual Bettors,7423,5508,1975,1975,17811.98,2025-06-16,2025-06-25
C007,Refer & Earn,Social Media,New Users,15659,5775,5423,3734,47157.69,2025-06-12,2025-06-26
C017,Weekend Frenzy,Push Notification,Returning Users,34229,7348,6594,6535,23697.49,2025-06-03,2025-06-15
C020,Late Night Thrill,SMS,High Rollers,15412,747,747,747,26816.25,2025-06-25,2025-07-09
C004,Flash Bet Boost,SMS,Churned Users,25327,915,915,915,4807.4,2025-06-13,2025-06-21
C005,Midweek Madness,Push Notification,Returning Users,24547,148,148,148,13614.42,2025-06-12,2025-06-24
C007,Early Bird Bonus,Email,Returning Users,46184,5528,5009,5009,44926.02,2025-06-05,2025-06-17
C013,Welcome Bonus,Social Media,Casual Bettors,3297,3297,3297,286,11975.08,2025-06-12,2025-06-23
C015,Cashback Carnival,Email,Casual Bettors,39938,6661,6661,6392,45031.64,2025-06-18,2025-06-25
C011,Comeback Offer,Affiliate,New Users,1848,1848,1848,1848,13412.72,2025-06-07,2025-06-21
C004,Spin & Win,Email,New Users,33424,1376,1376,1376,19531.16,2025-06-03,2025-06-13
C013,High Roller Heaven,Social Media,Returning Users,15728,8474,3134,33,34986.01,2025-06-30,2025-07-10
C007,Deposit Doubler,SMS,Returning Users,41986,5110,2313,2313,21102.73,2025-06-16,2025-06-29
C019,Refer & Earn,Social Media,Casual Bettors,39804,636,636,543,40883.39,2025-06-13,2025-06-26
C002,Late Night Thrill,Social Media,Casual Bettors,14674,2602,2602,2602,8075.62,2025-06-30,2025-07-10
C010,Weekend Frenzy,Social Media,Churned Users,22549,5295,2957,2957,7917.96,2025-06-15,2025-06-26
C013,Flash Bet Boost,Email,High Rollers,38699,9795,5589,5589,15158.12,2025-06-22,2025-07-03
C006,Refer & Earn,SMS,Churned Users,21365,6867,4545,2380,25719.01,2025-06-18,2025-07-02
C012,Welcome Bonus,SMS,High Rollers,14737,5069,3378,3378,5964.26,2025-06-18,2025-06-29
C012,Loyalty Bonus,Email,Returning Users,7380,7380,1529,1529,33186.07,2025-06-07,2025-06-18
C020,Loyalty Bonus,Email,Casual Bettors,24226,8885,7920,5124,42030.6,2025-06-03,2025-06-17
C011,Goal Galore,Email,Churned Users,16562,6967,6967,4972,35341.16,2025-06-01,2025-06-15
C007,Spin & Win,Affiliate,High Rollers,27170,6771,545,545,25674.57,2025-06-09,2025-06-21
C001,Mega Multiplier,Affiliate,New Users,42348,9381,4835,1647,42563.2,2025-06-16,2025-06-30
C001,Loyalty Bonus,Social Media,High Rollers,24546,1080,1080,1080,19576.08,2025-06-04,2025-06-15
C020,Late Night Thrill,Affiliate,High Rollers,6151,2299,1245,1245,18886.26,2025-06-14,2025-06-21
C013,Weekend Frenzy,Email,Casual Bettors,7991,4219,4219,4219,36402.59,2025-06-03,2025-06-16
C009,Goal Galore,Email,Churned Users,18159,8864,2390,2390,9572.09,2025-06-23,2025-07-03
C003,Deposit Doubler,Email,Returning Users,22048,8017,5724,4695,42922.37,2025-06-28,2025-07-12
C007,Bet & Chill,SMS,Churned Users,48000,5133,2692,2692,36509.22,2025-06-19,2025-07-01
C006,Mega Multiplier,SMS,Returning Users,22502,6751,6348,91,3031.43,2025-06-23,2025-07-05
C008,Big Match Bonus,Affiliate,New Users,18059,5933,737,31,21755.03,2025-06-02,2025-06-11
C009,Deposit Doubler,Push Notification,Casual Bettors,43896,9851,6368,6368,43124.25,2025-06-15,2025-06-23
C005,Mega Multiplier,Push Notification,High Rollers,39641,2450,2450,1834,46113.13,2025-06-14,2025-06-23
C001,Lucky Draw,Email,Churned Users,36391,5533,5533,428,21830.78,2025-06-25,2025-07-09
C019,Midweek Madness,SMS,Churned Users,21132,4238,1158,1158,4900.88,2025-06-13,2025-06-26
C010,Cashback Carnival,Social Media,Returning Users,18492,7761,7142,1592,3358.35,2025-06-02,2025-06-16
C012,Mega Multiplier,Affiliate,Churned Users,22380,4718,3321,1652,5839.92,2025-06-06,2025-06-14
C015,Late Night Thrill,SMS,High Rollers,25521,9649,6011,6011,44665.6,2025-06-10,2025-06-23
C009,Comeback Offer,Email,Returning Users,6825,4640,4640,2501,26459.15,2025-06-04,2025-06-16
C020,Mega Multiplier,Email,High Rollers,8385,3918,1612,1612,12784.8,2025-06-08,2025-06-20
C017,Loyalty Bonus,Push Notification,Returning Users,37040,1856,225,225,22394.3,2025-06-19,2025-06-26
C017,Cashback Carnival,Email,High Rollers,28695,3439,3439,1957,3383.29,2025-06-12,2025-06-25
C020,High Roller Heaven,Email,Returning Users,30597,2612,1043,1043,17324.48,2025-06-27,2025-07-04
C012,Cashback Carnival,Social Media,Casual Bettors,33550,8714,5550,2930,14938.48,2025-06-29,2025-07-07
C007,Lucky Draw,Affiliate,Churned Users,30944,5853,5853,5853,38411.89,2025-06-03,2025-06-16
C002,Cashback Carnival,Social Media,High Rollers,40412,5886,5886,2442,18493.29,2025-06-24,2025-07-01
C003,High Roller Heaven,Push Notification,New Users,16071,7934,5621,2936,47751.81,2025-06-16,2025-06-29
C017,Early Bird Bonus,SMS,Casual Bettors,37408,4903,2653,1478,16336.96,2025-06-30,2025-07-08
C005,Loyalty Bonus,Push Notification,Casual Bettors,25903,107,107,107,3713.4,2025-06-27,2025-07-08
C017,Cashback Carnival,Email,High Rollers,45988,8009,6466,6466,38432.8,2025-06-17,2025-06-29
C017,Comeback Offer,Affiliate,High Rollers,40426,3674,3674,3674,8303.68,2025-06-05,2025-06-12
C017,Goal Galore,Email,New Users,45163,6108,6108,370,20508.82,2025-06-25,2025-07-06
C002,Flash Bet Boost,Affiliate,High Rollers,47334,3382,3382,3382,14132.5,2025-06-13,2025-06-20
C002,Late Night Thrill,Affiliate,New Users,3224,399,399,399,11824.48,2025-06-09,2025-06-17
C005,Big Match Bonus,Affiliate,High Rollers,7234,2418,2418,2418,48641.04,2025-06-12,2025-06-26
C001,Weekend Frenzy,SMS,New Users,26487,9480,7758,4739,15540.37,2025-06-21,2025-06-30
C001,Weekend Frenzy,Push Notification,Returning Users,28670,2645,662,662,31647.63,2025-06-29,2025-07-13
C019,Spin & Win,SMS,Churned Users,9942,2679,2556,2556,41489.47,2025-06-02,2025-06-15
C002,Big Match Bonus,SMS,Churned Users,45057,460,460,460,37848.71,2025-06-13,2025-06-26
C012,High Roller Heaven,SMS,High Rollers,29786,2119,693,224,13008.76,2025-06-07,2025-06-20
C006,Goal Galore,Social Media,High Rollers,14081,5291,5291,5291,49261.19,2025-06-08,2025-06-18
C004,Bet & Chill,Social Media,Churned Users,9061,1934,1934,1934,6534.93,2025-06-04,2025-06-18
C011,Big Match Bonus,Social Media,Churned Users,5982,4763,3988,3988,14178.27,2025-06-03,2025-06-12
C017,Comeback Offer,SMS,New Users,6528,4613,3877,1794,14785.43,2025-06-02,2025-06-16
C006,Late Night Thrill,Email,New Users,31540,5612,2042,2042,23748.2,2025-06-10,2025-06-20
C005,Loyalty Bonus,Social Media,Returning Users,7699,7699,3881,3881,21541.67,2025-06-16,2025-06-28
C020,Late Night Thrill,Social Media,Returning Users,16872,7241,7019,3415,16954.94,2025-06-14,2025-06-22
C002,Flash Bet Boost,SMS,New Users,20806,5787,5787,3991,2093.81,2025-06-14,2025-06-23
C006,VIP Reload,Push Notification,Returning Users,44378,9788,1134,1134,32637.49,2025-06-22,2025-06-29
C011,Mega Multiplier,Email,Casual Bettors,17661,2495,1546,1479,41283.25,2025-06-12,2025-06-24
C016,Cashback Carnival,Affiliate,New Users,44619,4502,4118,4118,741.5,2025-06-15,2025-06-28
C016,High Roller Heaven,Affiliate,Returning Users,25964,7477,174,174,42100.63,2025-06-09,2025-06-21
C001,High Roller Heaven,Email,Returning Users,8660,5031,2201,534,3342.77,2025-06-23,2025-06-30
C009,Mega Multiplier,SMS,High Rollers,32860,1946,1946,1946,6193.1,2025-06-01,2025-06-13
C006,Comeback Offer,Push Notification,High Rollers,26490,9031,6370,6370,11686.66,2025-06-20,2025-06-30
C016,Lucky Draw,Push Notification,High Rollers,8535,5547,5547,1102,46207.89,2025-06-22,2025-07-04
C003,Spin & Win,Affiliate,Churned Users,17094,8625,3914,527,47818.31,2025-06-22,2025-07-06
C020,Deposit Doubler,Push Notification,Churned Users,34238,9125,912,912,31464.68,2025-06-16,2025-06-30
C004,Weekend Frenzy,Affiliate,Churned Users,19773,9325,7868,916,22864.79,2025-06-21,2025-07-04
C019,Loyalty Bonus,Social Media,New Users,8480,4848,4848,2718,14033.16,2025-06-07,2025-06-14
C003,Welcome Bonus,SMS,High Rollers,22652,7978,3365,3365,30765.62,2025-06-01,2025-06-10
C019,Instant Win Promo,Push Notification,High Rollers,13610,1720,1720,1720,10088.6,2025-06-07,2025-06-19
C020,Weekend Frenzy,SMS,New Users,14364,8818,5369,2255,13587.33,2025-06-16,2025-06-25
C007,Comeback Offer,Social Media,Churned Users,4771,3001,489,489,4711.36,2025-06-27,2025-07-06
C020,Comeback Offer,Email,Returning Users,24100,8475,386,386,30722.08,2025-06-26,2025-07-10
C009,VIP Reload,Email,Casual Bettors,25906,5076,3844,3844,25629.29,2025-06-29,2025-07-12
C001,Midweek Madness,Email,High Rollers,7923,6744,5562,1754,45717.21,2025-06-05,2025-06-14
C008,Welcome Bonus,Affiliate,Churned Users,3601,3601,3601,3601,44334.36,2025-06-23,2025-07-05
C007,Goal Galore,Affiliate,Returning Users,1639,1639,1639,1639,12850.6,2025-06-19,2025-06-27
C018,Cashback Carnival,Email,High Rollers,14272,5007,103,103,8027.5,2025-06-02,2025-06-15
C008,Cashback Carnival,Social Media,High Rollers,8855,2902,1550,1550,15018.03,2025-06-11,2025-06-23
C001,Deposit Doubler,Affiliate,Casual Bettors,23238,2189,867,867,14604.42,2025-06-26,2025-07-07
C011,Late Night Thrill,Email,Churned Users,6322,5284,5284,220,136.48,2025-06-16,2025-06-26
C018,Early Bird Bonus,SMS,New Users,38056,8338,6436,6436,39419.76,2025-06-07,2025-06-15
C010,Early Bird Bonus,Email,Returning Users,29950,9830,4658,4005,43702.61,2025-06-17,2025-06-26
C003,Welcome Bonus,Email,Returning Users,40907,601,601,601,17488.36,2025-06-18,2025-06-28
C007,Instant Win Promo,SMS,Churned Users,21266,9733,7117,6846,9832.66,2025-06-18,2025-06-27
C016,Bet & Chill,Affiliate,Returning Users,21804,657,657,657,16988.11,2025-06-09,2025-06-21
C016,Lucky Draw,SMS,New Users,30249,1604,1604,1604,42708.12,2025-06-02,2025-06-13
C020,Weekend Frenzy,Affiliate,Returning Users,40589,9797,3030,3030,10629.46,2025-06-28,2025-07-12
C017,Instant Win Promo,Social Media,Churned Users,5165,5165,2451,2451,47044.77,2025-06-10,2025-06-21
C002,Spin & Win,Affiliate,New Users,22840,1095,1095,1095,18985.99,2025-06-27,2025-07-11
C001,Comeback Offer,Push Notification,Casual Bettors,21612,4206,4206,2377,40853.38,2025-06-17,2025-06-25
C016,Late Night Thrill,Affiliate,Churned Users,13109,8360,6589,301,17385.72,2025-06-06,2025-06-20
C012,High Roller Heaven,Push Notification,Casual Bettors,42699,2060,2060,2060,40147.94,2025-06-25,2025-07-05
C005,Flash Bet Boost,Affiliate,Returning Users,49942,1563,1563,1563,45930.91,2025-06-23,2025-07-04
C005,Midweek Madness,SMS,New Users,9941,7117,6051,1955,29909.86,2025-06-29,2025-07-07
C009,Comeback Offer,Affiliate,Returning Users,22339,5106,4725,1813,46678.58,2025-06-06,2025-06-15
C009,Refer & Earn,Email,Churned Users,19507,6764,6764,5095,13153.86,2025-06-22,2025-07-04
C003,High Roller Heaven,Affiliate,Casual Bettors,29000,233,233,233,11504.72,2025-06-04,2025-06-15
C019,Flash Bet Boost,SMS,Casual Bettors,5135,2626,475,475,9099.97,2025-06-25,2025-07-09
C016,Flash Bet Boost,SMS,Returning Users,12793,5701,5401,5401,46009.38,2025-06-22,2025-07-03
C016,Weekend Frenzy,Affiliate,Churned Users,18017,713,713,713,30505.44,2025-06-16,2025-06-26
C003,Deposit Doubler,Affiliate,Returning Users,46130,1407,1188,872,16346.13,2025-06-12,2025-06-19
C020,Lucky Draw,Affiliate,High Rollers,36565,8599,2781,120,16871.08,2025-06-30,2025-07-07
C001,Refer & Earn,Social Media,Churned Users,47808,1570,1570,1570,28579.02,2025-06-29,2025-07-07
C020,Instant Win Promo,Push Notification,Churned Users,49882,6144,2708,853,132.51,2025-06-02,2025-06-14
C011,High Roller Heaven,Affiliate,New Users,15076,4964,4964,4964,26543.71,2025-06-20,2025-07-04
C017,Midweek Madness,Affiliate,High Rollers,7482,2829,2829,1011,9697.65,2025-06-11,2025-06-19
C008,Midweek Madness,Push Notification,Casual Bettors,44459,2806,2137,695,9651.27,2025-06-27,2025-07-07
C004,Cashback Carnival,Email,Returning Users,45989,232,232,232,44179.7,2025-06-26,2025-07-08
C006,Lucky Draw,Social Media,Casual Bettors,15086,6300,3116,1867,36052.49,2025-06-12,2025-06-25
C008,Goal Galore,Social Media,Churned Users,19897,3850,995,995,48343.76,2025-06-12,2025-06-26
C020,Instant Win Promo,Email,Returning Users,36086,7851,5061,2452,23793.0,2025-06-26,2025-07-09
C003,Loyalty Bonus,Push Notification,Casual Bettors,10839,2090,2090,1940,8643.1,2025-06-26,2025-07-08
C016,Deposit Doubler,Push Notification,Returning Users,17206,866,866,788,28094.31,2025-06-10,2025-06-19
C003,Goal Galore,SMS,Casual Bettors,12427,1480,1480,1480,33135.87,2025-06-18,2025-06-26
C018,Lucky Draw,Push Notification,Returning Users,4130,4130,4130,4130,43576.7,2025-06-15,2025-06-22
C014,Big Match Bonus,Social Media,Casual Bettors,41518,2181,1390,779,16099.23,2025-06-11,2025-06-21
C018,Comeback Offer,SMS,Casual Bettors,10624,1272,1272,361,7435.64,2025-06-25,2025-07-06
C002,Cashback Carnival,Affiliate,Returning Users,48124,5892,2463,1260,33545.07,2025-06-26,2025-07-09
C003,Comeback Offer,Affiliate,New Users,37272,2167,2167,2167,17373.03,2025-06-16,2025-06-24
C016,Welcome Bonus,Affiliate,Returning Users,13807,5625,2380,2380,47336.06,2025-06-03,2025-06-11
C009,VIP Reload,SMS,Casual Bettors,48700,3515,2120,1719,32596.65,2025-06-16,2025-06-30
C004,Goal Galore,Social Media,High Rollers,46480,1224,1224,1224,26171.01,2025-06-27,2025-07-05
C001,Loyalty Bonus,Push Notification,Churned Users,20479,4133,4133,4133,21847.51,2025-06-19,2025-07-01
C004,Mega Multiplier,SMS,New Users,1931,1931,348,348,8893.85,2025-06-24,2025-07-02
C001,High Roller Heaven,Social Media,Returning Users,14569,6657,2460,2460,17593.44,2025-06-13,2025-06-26
C014,Comeback Offer,Push Notification,Churned Users,6629,6629,953,953,26423.07,2025-06-15,2025-06-29
C016,Flash Bet Boost,Email,New Users,19008,1686,1686,1686,45984.47,2025-06-09,2025-06-17
C020,Lucky Draw,Social Media,High Rollers,11758,9309,865,865,22970.21,2025-06-05,2025-06-12
C008,Midweek Madness,Email,Churned Users,27350,3686,3686,3082,23575.35,2025-06-07,2025-06-20
